relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
37.03,320,6,30.06,6.21,19,4,19
34.8,310,9,30.03,6.21,20,4,20
37.61,10,6,29.94,6.21,21,6,21
27.26,230,25,29.68,1.24,24,4,23.16666667
49.1,270,24,29.88,1.86,20,9,20
35.37,10,2,30.06,6.21,22,6,21.17777778
20.74,50,7,29.88,6.21,25,1,24.09444444
13.93,240,15,29.8,1.24,23,-6,21.71666667
43.13,250,21,29.88,3.73,21,8,21
35.09,270,8,29.97,6.21,21,5,21
33.57,250,6,29.88,6.21,24,7,23.33333333
21,210,20,29.85,6.21,26,2,25.20555556
17.94,180,12,29.85,6.21,25,-1,24.02222222
20.98,250,21,29.83,1.24,20,-3,20
30.2,250,17,29.91,6.21,20,2,20
26.43,210,14,29.94,6.21,21,1,21
26.43,280,13,30.03,2.49,21,1,21
46.16,10,9,30.06,6.21,21,9,21
38.18,40,19,30.09,6.21,23,8,22.35
33.57,40,14,30.09,6.21,24,7,23.33333333
41.42,40,14,30.06,6.21,25,11,25
18.42,30,5,29.97,6.21,27,1,26.04444444
17.61,190,13,29.8,6.21,29,2,27.41111111
30.77,260,16,29.88,6.21,22,4,21.06111111
24.86,260,17,29.88,6.21,22,1,20.90555556
29.35,260,17,29.97,6.21,17,-1,17
36.16,280,15,30.06,6.21,16,1,16
34.22,300,5,30.06,6.21,18,2,18
42.57,350,10,30.09,6.21,19,6,19
32.72,30,10,30.21,6.21,21,4,21
37.89,40,13,30.24,6.21,22,7,21.24444444
22.02,50,17,30.18,6.21,24,1,23.03333333
29.79,40,8,30.09,6.21,26,7,25.43333333
19.79,40,10,30.03,6.21,27,2,26.07777778
19.15,350,6,29.94,6.21,30,4,28.21666667
6.75,40,8,29.88,6.21,30,-10,27.61666667
31.9,60,14,29.83,6.21,26,8,26
46.98,300,13,29.91,6.21,24,12,24
35.66,320,9,30.03,6.21,23,7,22.28888889
40.29,310,11,30.09,6.21,21,7,21
39.72,270,14,30.06,6.21,19,5,19
35.09,310,9,30.12,6.21,21,5,21
28.68,350,8,30.15,6.21,22,3,21.00555556
31.05,350,2,30.15,6.21,23,5,22.16666667
33.29,360,3,30.09,6.21,23,6,22.22222222
29.23,30,11,30.09,6.21,24,5,23.21666667
27.53,10,14,30,6.21,25,5,24.27222222
23.07,40,15,29.88,6.21,28,5,26.82777778
8.71,240,8,29.8,6.21,35,-3,31.71111111
41.14,250,3,29.94,6.21,24,10,24
38.46,290,7,29.88,3.73,24,9,24
46.16,280,10,29.91,6.21,21,9,21
35.37,240,12,29.94,6.21,22,6,21.17777778
35.66,290,5,29.88,6.21,23,7,22.28888889
22.81,120,2,29.85,6.21,27,4,26.16666667
31.62,240,18,29.85,6.21,25,7,24.38333333
33.57,250,12,29.97,6.21,24,7,23.33333333
18.91,200,19,29.88,6.21,29,3,27.43333333
18.91,260,16,29.77,6.21,29,3,27.43333333
31.05,290,14,29.91,6.21,23,5,22.16666667
28.96,350,8,30,6.21,23,4,22.11111111
22.81,340,11,29.94,6.21,27,4,26.16666667
14.02,290,5,29.88,6.21,33,2,30.65
9.04,260,5,29.88,6.21,37,-1,33.58888889
5.89,200,14,29.88,3.73,38,-6,33.95
7.8,230,12,29.83,3.11,37,-3,33.37222222
34.13,300,8,29.83,6.21,26,9,26
31.34,240,11,29.85,6.21,24,6,23.27222222
37.61,270,3,29.85,6.21,21,6,21
33.57,270,12,29.83,6.21,24,7,23.33333333
22.28,200,4,29.91,6.21,25,2,24.13888889
36.22,320,7,29.88,6.21,25,9,25
31.62,350,10,29.88,6.21,25,7,24.38333333
