dwpf,relh,drct,alti,vsby,feel,temp_c
43.16,92.72,180.0,29.56,12.0,40.3,7.300000000000001
39.2,66.27,180.0,29.38,6.21,45.9,10.0
41.0,71.07,70.0,29.71,4.97,47.77,10.0
40.46,78.05,140.0,29.71,3.0,43.52,8.333333333333334
42.0,93.32,350.0,29.71,4.0,41.08,6.500000000000002
39.2,86.99,360.0,29.91,3.11,39.22,5.999999999999998
41.0,84.74,120.0,29.91,4.0,40.08,7.3999999999999995
41.36,87.11,170.0,29.91,3.0,41.14,7.222222222222222
49.82,91.7,240.0,29.91,14.0,52.16,11.199999999999998
45.86,64.92,270.0,29.91,14.0,57.56,14.200000000000001
48.2,71.83,230.0,30.24,6.21,57.2,14.000000000000002
46.4,81.74,200.0,30.03,6.21,51.8,10.999999999999998
35.6,59.48,290.0,30.03,19.0,44.41,9.444444444444445
37.4,86.89,360.0,30.3,6.21,35.75,5.0
33.8,75.33,20.0,30.68,6.21,35.75,5.0
34.0,65.63,30.0,30.68,4.0,38.99,7.1000000000000005
32.36,74.15,30.0,30.68,7.0,33.36,4.444444444444445
31.0,56.08,20.0,30.68,8.0,44.33,7.6000000000000005
33.8,62.54,60.0,30.68,14.0,41.19,7.699999999999999
31.82,60.18,90.0,30.68,13.0,39.4,7.1000000000000005
28.4,43.03,80.0,30.39,6.21,46.29,10.0
32.0,43.61,240.0,30.09,6.21,53.6,12.0
33.8,50.08,270.0,30.0,6.21,51.8,10.999999999999998
42.8,62.46,250.0,29.85,6.21,55.4,13.0
37.4,54.07,250.0,29.97,6.21,53.6,12.0
37.4,50.64,150.0,29.53,6.21,55.4,13.0
44.6,80.52,310.0,29.53,19.0,50.36,10.2
33.8,46.88,70.0,30.0,6.21,53.6,12.0
46.4,67.12,100.0,29.91,2.73,57.2,14.000000000000002
44.6,81.61,40.0,29.91,2.05,46.29,10.0
38.48,63.57,330.0,29.91,6.0,50.36,10.2
39.2,75.84,0.0,30.12,3.11,46.4,8.0
26.6,34.98,0.0,30.53,6.21,53.6,12.0
39.2,54.34,230.0,30.47,6.21,55.4,13.0
44.6,58.77,290.0,30.53,6.21,59.0,15.0
42.0,49.7,40.0,30.53,16.0,60.8,16.0
42.8,48.28,80.0,30.68,6.21,62.6,17.0
43.34,51.53,80.0,30.68,10.0,61.34,16.3
42.44,43.32,290.0,30.68,5.0,65.3,18.5
47.66,69.93,80.0,30.68,3.0,57.38,14.100000000000001
42.8,54.86,60.0,29.91,4.97,59.0,15.0
39.38,46.54,10.0,29.91,6.0,59.9,15.555555555555555
46.4,59.01,140.0,29.85,4.35,60.8,16.0
44.6,71.45,210.0,29.85,6.21,53.6,12.0
50.0,59.5,250.0,29.85,6.21,64.4,18.000000000000004
