relh,drct,sknt,alti,vsby,dewpoint_c,feel_c,temp_c
43.13,60,16,30.03,6.21,8,21,21
63.82,20,9,29.94,6.21,12,19,19
45.6,350,9,29.97,6.21,7,19,19
52.25,270,7,29.97,6.21,9,19,19
59.5,230,10,29.91,6.21,10,18,18
42.85,310,10,30.03,6.21,7,20,20
37.03,320,6,30.06,6.21,4,19,19
34.8,310,9,30.03,6.21,4,20,20
37.61,10,6,29.94,6.21,6,21,21
27.26,230,25,29.68,1.24,4,23.16666667,24
49.1,270,24,29.88,1.86,9,20,20
35.37,10,2,30.06,6.21,6,21.17777778,22
20.74,50,7,29.88,6.21,1,24.09444444,25
13.93,240,15,29.8,1.24,-6,21.71666667,23
43.13,250,21,29.88,3.73,8,21,21
35.09,270,8,29.97,6.21,5,21,21
33.57,250,6,29.88,6.21,7,23.33333333,24
21,210,20,29.85,6.21,2,25.20555556,26
17.94,180,12,29.85,6.21,-1,24.02222222,25
20.98,250,21,29.83,1.24,-3,20,20
30.2,250,17,29.91,6.21,2,20,20
26.43,210,14,29.94,6.21,1,21,21
26.43,280,13,30.03,2.49,1,21,21
46.16,10,9,30.06,6.21,9,21,21
38.18,40,19,30.09,6.21,8,22.35,23
33.57,40,14,30.09,6.21,7,23.33333333,24
41.42,40,14,30.06,6.21,11,25,25
18.42,30,5,29.97,6.21,1,26.04444444,27
17.61,190,13,29.8,6.21,2,27.41111111,29
30.77,260,16,29.88,6.21,4,21.06111111,22
24.86,260,17,29.88,6.21,1,20.90555556,22
29.35,260,17,29.97,6.21,-1,17,17
36.16,280,15,30.06,6.21,1,16,16
34.22,300,5,30.06,6.21,2,18,18
42.57,350,10,30.09,6.21,6,19,19
32.72,30,10,30.21,6.21,4,21,21
37.89,40,13,30.24,6.21,7,21.24444444,22
22.02,50,17,30.18,6.21,1,23.03333333,24
29.79,40,8,30.09,6.21,7,25.43333333,26
19.79,40,10,30.03,6.21,2,26.07777778,27
19.15,350,6,29.94,6.21,4,28.21666667,30
6.75,40,8,29.88,6.21,-10,27.61666667,30
31.9,60,14,29.83,6.21,8,26,26
46.98,300,13,29.91,6.21,12,24,24
35.66,320,9,30.03,6.21,7,22.28888889,23
40.29,310,11,30.09,6.21,7,21,21
39.72,270,14,30.06,6.21,5,19,19
35.09,310,9,30.12,6.21,5,21,21
28.68,350,8,30.15,6.21,3,21.00555556,22
31.05,350,2,30.15,6.21,5,22.16666667,23
33.29,360,3,30.09,6.21,6,22.22222222,23
29.23,30,11,30.09,6.21,5,23.21666667,24
27.53,10,14,30,6.21,5,24.27222222,25
23.07,40,15,29.88,6.21,5,26.82777778,28
8.71,240,8,29.8,6.21,-3,31.71111111,35
41.14,250,3,29.94,6.21,10,24,24
38.46,290,7,29.88,3.73,9,24,24
46.16,280,10,29.91,6.21,9,21,21
35.37,240,12,29.94,6.21,6,21.17777778,22
35.66,290,5,29.88,6.21,7,22.28888889,23
22.81,120,2,29.85,6.21,4,26.16666667,27
31.62,240,18,29.85,6.21,7,24.38333333,25
33.57,250,12,29.97,6.21,7,23.33333333,24
18.91,200,19,29.88,6.21,3,27.43333333,29
18.91,260,16,29.77,6.21,3,27.43333333,29
31.05,290,14,29.91,6.21,5,22.16666667,23
28.96,350,8,30,6.21,4,22.11111111,23
22.81,340,11,29.94,6.21,4,26.16666667,27
14.02,290,5,29.88,6.21,2,30.65,33
9.04,260,5,29.88,6.21,-1,33.58888889,37
5.89,200,14,29.88,3.73,-6,33.95,38
7.8,230,12,29.83,3.11,-3,33.37222222,37
34.13,300,8,29.83,6.21,9,26,26
31.34,240,11,29.85,6.21,6,23.27222222,24
37.61,270,3,29.85,6.21,6,21,21
33.57,270,12,29.83,6.21,7,23.33333333,24
22.28,200,4,29.91,6.21,2,24.13888889,25
36.22,320,7,29.88,6.21,9,25,25
31.62,350,10,29.88,6.21,7,24.38333333,25
9.76,70,10,29.8,6.21,-6,27.09444444,29
23.59,300,8,29.83,2.49,7,28.37222222,30
29.18,60,12,29.62,6.21,11,29.66111111,31
30.35,280,12,29.68,6.21,9,27.11111111,28
36.51,300,11,29.83,6.21,10,26,26
17.85,300,6,29.94,3.73,3,28.18333333,30
17.28,210,20,29.83,6.21,9,36.11111111,38
19.89,360,6,29.85,6.21,7,30.93333333,33
12.94,250,8,29.83,6.21,4,34.38333333,37
28.37,310,6,29.83,2.49,14,34.34444444,35
34.69,300,9,29.91,6.21,11,27.33333333,28
29.79,320,10,29.94,6.21,7,25.43333333,26
31.9,320,3,29.94,6.21,8,26,26
28.36,330,9,29.85,6.21,8,27.02222222,28
26.49,280,6,29.85,6.21,7,26.94444444,28
18.33,230,9,29.8,6.21,5,29.9,32
21.25,240,13,29.88,6.21,3,26.12222222,27
34.41,280,13,29.91,6.21,10,27,27
36.22,290,6,29.91,6.21,9,25,25
36.79,0,0,29.91,6.21,11,27,27
30.07,40,11,29.91,6.21,8,26.42222222,27
30.62,320,16,29.91,6.21,10,27.91111111,29
22.02,260,10,29.91,6.21,6,28.30555556,30
13.46,210,5,29.94,6.21,3,32.47777778,35
24.63,330,6,29.91,3.73,11,32.47222222,34
35.25,10,7,29.88,6.21,13,29.18888889,30
25.52,360,13,29.85,6.21,9,29.37222222,31
26.05,30,13,29.88,6.21,11,31.49444444,33
21.54,20,11,29.91,6.21,9,32.11111111,34
14.87,20,14,29.85,6.21,6,34.61111111,37
12.44,360,13,29.88,6.21,5,36.32777778,39
18.25,250,9,29.83,3.73,9,35.09444444,37
27.56,350,5,29.83,6.21,11,30.55555556,32
33.01,290,6,29.88,6.21,12,28.98888889,30
25.79,310,7,29.94,6.21,10,30.38888889,32
29.45,0,0,29.94,6.21,12,30.75555556,32
31.45,300,9,29.91,6.21,13,30.98888889,32
31.17,350,12,29.88,6.21,12,29.84444444,31
29.72,340,10,29.91,6.21,13,31.96111111,33
31.72,340,12,29.85,6.21,14,32.25555556,33
28.1,340,10,29.83,6.21,13,32.97222222,34
23.04,340,7,29.8,6.21,10,32.27777778,34
23.3,350,12,29.83,6.21,11,33.47777778,35
26.84,310,12,29.85,6.21,14,35.42777778,36
17.28,340,14,29.83,6.21,9,36.11111111,38
21.6,350,5,29.71,6.21,14,40,40
29.72,320,9,29.74,6.21,13,31.96111111,33
22.78,270,15,29.8,6.21,9,31.16111111,33
25.79,270,16,29.83,6.21,10,30.38888889,32
31.17,290,6,29.85,6.21,12,29.84444444,31
24.11,360,10,29.85,6.21,9,30.24444444,32
24.63,350,10,29.88,6.21,11,32.47222222,34
38.18,330,12,29.91,6.21,16,32,32
33.29,330,14,29.85,6.21,13,30.06111111,31
31.45,340,10,29.8,6.21,13,30.98888889,32
27.83,340,13,29.74,6.21,12,31.71111111,33
24.89,350,11,29.83,6.21,12,33.72777778,35
23.3,10,10,29.8,6.21,11,33.47777778,35
26.84,340,11,29.74,6.21,14,35.42777778,36
34.11,300,9,29.71,6.21,16,34,34
26.58,320,9,29.71,6.21,13,34.01111111,35
19.04,290,12,29.68,6.21,8,32.93888889,35
35.81,340,8,29.71,6.21,15,32,32
40.14,310,10,29.74,6.21,15,29.70555556,30
34.97,310,8,29.83,6.21,12,28.2,29
30.9,320,9,29.88,6.21,11,28.81666667,30
37.9,330,9,29.8,6.21,15,31,31
80.715,40,7,29.825,3.73,19.5,23,23
26.58,350,10,29.8,6.21,13,34.01111111,35
33.84,330,10,29.8,6.21,15,33,33
43.61,10,8,29.77,6.21,19,34.60555556,33
31.72,320,11,29.74,6.21,14,32.25555556,33
28.37,20,14,29.8,6.21,14,34.34444444,35
20.87,360,15,29.83,6.21,11,35.55555556,37
26.84,360,9,29.83,6.21,14,35.42777778,36
25.15,310,10,29.71,6.21,13,35.07777778,36
39.27,340,9,29.68,6.21,20,38.89444444,36
25.15,300,12,29.65,6.21,13,35.07777778,36
23.81,300,10,29.68,6.21,13,36.16111111,37
20.62,290,3,29.77,6.21,10,34.28333333,36
30.53,330,9,29.8,6.21,16,36,36
24.89,290,4,29.71,6.21,12,33.72777778,35
39,340,9,29.65,6.21,19,36.92222222,35
25.15,300,14,29.65,6.21,13,35.07777778,36
15.08,320,8,29.65,6.21,7,35.72777778,38
32.54,320,9,29.62,6.21,17,36.82222222,36
24.06,320,7,29.65,6.21,14,38,38
41.23,290,8,29.71,6.21,19,35.75,34
29.99,310,12,29.71,6.21,14,33.28333333,34
